ID,Species,Trend,TP,Occupancy
27,Myrmica scabrinodis,Stable,1940-1949,0.7097732
28,Myrmica schencki,Declining,1940-1949,0.3663932
29,Tetramorium caespitum,Fluctuating,1940-1949,0.6564997
1,Camponotus herculeanus,Increasing,1950-1959,0.06486879
2,Formica cinerea,Stable,1950-1959,0.15136
3,Formica cunicularia,Stable,1950-1959,0.05508784
4,Formica exsecta,Stable,1950-1959,0.3497932
5,Formica fusca,Stable,1950-1959,0.9286074
6,Formica picea,Increasing,1950-1959,0.3390593
7,Formica polyctena,Fluctuating,1950-1959,0.3473459
8,Formica pratensis,Stable,1950-1959,0.2179801
9,Formica pressilabris,Stable,1950-1959,0.2813245
10,Formica rufa,Increasing,1950-1959,0.7712373
11,Formica rufibarbis,Fluctuating,1950-1959,0.4330073
12,Formica sanguinea,Fluctuating,1950-1959,0.4100537
13,Formica truncorum,Stable,1950-1959,0.1821911
14,Formica uralensis,Fluctuating,1950-1959,0.0752709
15,Formicoxenus nitidulus,Stable,1950-1959,0.1910007
16,Lasius flavus,Stable,1950-1959,0.9342546
17,Lasius fuliginosus,Declining,1950-1959,0.5888774
18,Lasius meridionalis,Stable,1950-1959,0.3499225
19,Lasius niger,Stable,1950-1959,0.8888727
20,Lasius umbratus,Fluctuating,1950-1959,0.3348068
21,Leptothorax acervorum,Stable,1950-1959,0.9472154
22,Myrmica lobicornis,Stable,1950-1959,0.6703353
23,Myrmica rubra,Declining,1950-1959,0.8323375
24,Myrmica ruginodis,Increasing,1950-1959,0.80243
25,Myrmica rugulosa,Stable,1950-1959,0.3872741
26,Myrmica sabuleti,Declining,1950-1959,0.6108881
27,Myrmica scabrinodis,Stable,1950-1959,0.7323592
28,Myrmica schencki,Declining,1950-1959,0.2758217
29,Tetramorium caespitum,Fluctuating,1950-1959,0.6882939
1,Camponotus herculeanus,Increasing,1960-1969,0.08623387
2,Formica cinerea,Stable,1960-1969,0.1601402
3,Formica cunicularia,Stable,1960-1969,0.05755709
4,Formica exsecta,Stable,1960-1969,0.3828127
5,Formica fusca,Stable,1960-1969,0.9357019
6,Formica picea,Increasing,1960-1969,0.3882677
7,Formica polyctena,Fluctuating,1960-1969,0.1748945
8,Formica pratensis,Stable,1960-1969,0.215483
9,Formica pressilabris,Stable,1960-1969,0.2759154
10,Formica rufa,Increasing,1960-1969,0.8074669
11,Formica rufibarbis,Fluctuating,1960-1969,0.3687814
12,Formica sanguinea,Fluctuating,1960-1969,0.4341878
13,Formica truncorum,Stable,1960-1969,0.1703813
14,Formica uralensis,Fluctuating,1960-1969,0.202443
15,Formicoxenus nitidulus,Stable,1960-1969,0.1716831
16,Lasius flavus,Stable,1960-1969,0.9415953
17,Lasius fuliginosus,Declining,1960-1969,0.4852291
18,Lasius meridionalis,Stable,1960-1969,0.2354215
19,Lasius niger,Stable,1960-1969,0.9394068
20,Lasius umbratus,Fluctuating,1960-1969,0.2807679
21,Leptothorax acervorum,Stable,1960-1969,0.9772315
22,Myrmica lobicornis,Stable,1960-1969,0.6564295
23,Myrmica rubra,Declining,1960-1969,0.8271339
24,Myrmica ruginodis,Increasing,1960-1969,0.8510484
25,Myrmica rugulosa,Stable,1960-1969,0.2856835
26,Myrmica sabuleti,Declining,1960-1969,0.5117834
27,Myrmica scabrinodis,Stable,1960-1969,0.7166926
28,Myrmica schencki,Declining,1960-1969,0.2615613
29,Tetramorium caespitum,Fluctuating,1960-1969,0.7877005
1,Camponotus herculeanus,Increasing,1970-1979,0.093596
2,Formica cinerea,Stable,1970-1979,0.1596972
3,Formica cunicularia,Stable,1970-1979,0.06078173
4,Formica exsecta,Stable,1970-1979,0.4143973
5,Formica fusca,Stable,1970-1979,0.9480312
6,Formica picea,Increasing,1970-1979,0.4099668
7,Formica polyctena,Fluctuating,1970-1979,0.1918042
8,Formica pratensis,Stable,1970-1979,0.2224219
9,Formica pressilabris,Stable,1970-1979,0.2906519
10,Formica rufa,Increasing,1970-1979,0.8358434
11,Formica rufibarbis,Fluctuating,1970-1979,0.3517398
12,Formica sanguinea,Fluctuating,1970-1979,0.4192432
13,Formica truncorum,Stable,1970-1979,0.1623761
14,Formica uralensis,Fluctuating,1970-1979,0.2671625
15,Formicoxenus nitidulus,Stable,1970-1979,0.1501888
16,Lasius flavus,Stable,1970-1979,0.9420488
17,Lasius fuliginosus,Declining,1970-1979,0.4297072
18,Lasius meridionalis,Stable,1970-1979,0.2285222
19,Lasius niger,Stable,1970-1979,0.9622017
20,Lasius umbratus,Fluctuating,1970-1979,0.2123788
21,Leptothorax acervorum,Stable,1970-1979,0.9832417
22,Myrmica lobicornis,Stable,1970-1979,0.6551756
23,Myrmica rubra,Declining,1970-1979,0.7145979
24,Myrmica ruginodis,Increasing,1970-1979,0.8765763
25,Myrmica rugulosa,Stable,1970-1979,0.2818501
26,Myrmica sabuleti,Declining,1970-1979,0.4889201
27,Myrmica scabrinodis,Stable,1970-1979,0.6612328
28,Myrmica schencki,Declining,1970-1979,0.246652
29,Tetramorium caespitum,Fluctuating,1970-1979,0.7901735
1,Camponotus herculeanus,Increasing,1980-1989,0.1295821
2,Formica cinerea,Stable,1980-1989,0.1687008
3,Formica cunicularia,Stable,1980-1989,0.06176613
4,Formica exsecta,Stable,1980-1989,0.3765104
5,Formica fusca,Stable,1980-1989,0.9270906
6,Formica picea,Increasing,1980-1989,0.3602884
7,Formica polyctena,Fluctuating,1980-1989,0.7079806
8,Formica pratensis,Stable,1980-1989,0.2194383
9,Formica pressilabris,Stable,1980-1989,0.3166184
10,Formica rufa,Increasing,1980-1989,0.8106372
11,Formica rufibarbis,Fluctuating,1980-1989,0.3682711
12,Formica sanguinea,Fluctuating,1980-1989,0.3468054
13,Formica truncorum,Stable,1980-1989,0.1575004
14,Formica uralensis,Fluctuating,1980-1989,0.1872302
15,Formicoxenus nitidulus,Stable,1980-1989,0.1391873
16,Lasius flavus,Stable,1980-1989,0.936998
17,Lasius fuliginosus,Declining,1980-1989,0.480364
18,Lasius meridionalis,Stable,1980-1989,0.2733025
19,Lasius niger,Stable,1980-1989,0.9347471
20,Lasius umbratus,Fluctuating,1980-1989,0.2423119
21,Leptothorax acervorum,Stable,1980-1989,0.9175133
22,Myrmica lobicornis,Stable,1980-1989,0.5947159
23,Myrmica rubra,Declining,1980-1989,0.6804319
24,Myrmica ruginodis,Increasing,1980-1989,0.8184729
25,Myrmica rugulosa,Stable,1980-1989,0.3438414
26,Myrmica sabuleti,Declining,1980-1989,0.1605681
27,Myrmica scabrinodis,Stable,1980-1989,0.5887393
28,Myrmica schencki,Declining,1980-1989,0.2474148
29,Tetramorium caespitum,Fluctuating,1980-1989,0.8027661
1,Camponotus herculeanus,Increasing,1990-1999,0.199429
2,Formica cinerea,Stable,1990-1999,0.1693485
3,Formica cunicularia,Stable,1990-1999,0.06261532
4,Formica exsecta,Stable,1990-1999,0.3641805
5,Formica fusca,Stable,1990-1999,0.9259046
6,Formica picea,Increasing,1990-1999,0.3647045
7,Formica polyctena,Fluctuating,1990-1999,0.7104495
8,Formica pratensis,Stable,1990-1999,0.2138629
9,Formica pressilabris,Stable,1990-1999,0.2984914
10,Formica rufa,Increasing,1990-1999,0.7857096
11,Formica rufibarbis,Fluctuating,1990-1999,0.3965857
12,Formica sanguinea,Fluctuating,1990-1999,0.3127774
13,Formica truncorum,Stable,1990-1999,0.1623897
14,Formica uralensis,Fluctuating,1990-1999,0.198451
15,Formicoxenus nitidulus,Stable,1990-1999,0.1411149
16,Lasius flavus,Stable,1990-1999,0.9307522
17,Lasius fuliginosus,Declining,1990-1999,0.4625246
18,Lasius meridionalis,Stable,1990-1999,0.3210719
19,Lasius niger,Stable,1990-1999,0.9011344
20,Lasius umbratus,Fluctuating,1990-1999,0.3054036
21,Leptothorax acervorum,Stable,1990-1999,0.9151948
22,Myrmica lobicornis,Stable,1990-1999,0.5325194
23,Myrmica rubra,Declining,1990-1999,0.6184105
24,Myrmica ruginodis,Increasing,1990-1999,0.7750962
25,Myrmica rugulosa,Stable,1990-1999,0.3634444
26,Myrmica sabuleti,Declining,1990-1999,0.1360909
27,Myrmica scabrinodis,Stable,1990-1999,0.6140733
28,Myrmica schencki,Declining,1990-1999,0.2400123
29,Tetramorium caespitum,Fluctuating,1990-1999,0.7574042
1,Camponotus herculeanus,Increasing,2000-2009,0.2201695
2,Formica cinerea,Stable,2000-2009,0.1752079
3,Formica cunicularia,Stable,2000-2009,0.06152274
4,Formica exsecta,Stable,2000-2009,0.3645697
5,Formica fusca,Stable,2000-2009,0.9184423
6,Formica picea,Increasing,2000-2009,0.3869429
7,Formica polyctena,Fluctuating,2000-2009,0.6096857
8,Formica pratensis,Stable,2000-2009,0.2099871
9,Formica pressilabris,Stable,2000-2009,0.2930972
10,Formica rufa,Increasing,2000-2009,0.7543869
11,Formica rufibarbis,Fluctuating,2000-2009,0.4554031
12,Formica sanguinea,Fluctuating,2000-2009,0.2666177
13,Formica truncorum,Stable,2000-2009,0.1654885
14,Formica uralensis,Fluctuating,2000-2009,0.2729768
15,Formicoxenus nitidulus,Stable,2000-2009,0.1467747
16,Lasius flavus,Stable,2000-2009,0.9367959
17,Lasius fuliginosus,Declining,2000-2009,0.4547789
18,Lasius meridionalis,Stable,2000-2009,0.3607406
19,Lasius niger,Stable,2000-2009,0.9147508
20,Lasius umbratus,Fluctuating,2000-2009,0.3905055
21,Leptothorax acervorum,Stable,2000-2009,0.9584882
22,Myrmica lobicornis,Stable,2000-2009,0.5122159
23,Myrmica rubra,Declining,2000-2009,0.6682179
24,Myrmica ruginodis,Increasing,2000-2009,0.8256678
25,Myrmica rugulosa,Stable,2000-2009,0.4034167
26,Myrmica sabuleti,Declining,2000-2009,0.1039767
27,Myrmica scabrinodis,Stable,2000-2009,0.6506226
28,Myrmica schencki,Declining,2000-2009,0.239368
29,Tetramorium caespitum,Fluctuating,2000-2009,0.7118474
1,Camponotus herculeanus,Increasing,2010-2019,0.241906
2,Formica cinerea,Stable,2010-2019,0.1814404
3,Formica cunicularia,Stable,2010-2019,0.06073792
4,Formica exsecta,Stable,2010-2019,0.36362
5,Formica fusca,Stable,2010-2019,0.916554
6,Formica picea,Increasing,2010-2019,0.407606
7,Formica polyctena,Fluctuating,2010-2019,0.5386876
8,Formica pratensis,Stable,2010-2019,0.2062349
9,Formica pressilabris,Stable,2010-2019,0.2861727
10,Formica rufa,Increasing,2010-2019,0.7206333
11,Formica rufibarbis,Fluctuating,2010-2019,0.5185836
12,Formica sanguinea,Fluctuating,2010-2019,0.2240063
13,Formica truncorum,Stable,2010-2019,0.1685877
14,Formica uralensis,Fluctuating,2010-2019,0.3491881
15,Formicoxenus nitidulus,Stable,2010-2019,0.1510208
16,Lasius flavus,Stable,2010-2019,0.9411326
17,Lasius fuliginosus,Declining,2010-2019,0.446417
18,Lasius meridionalis,Stable,2010-2019,0.3998332
19,Lasius niger,Stable,2010-2019,0.9421995
20,Lasius umbratus,Fluctuating,2010-2019,0.4825085
21,Leptothorax acervorum,Stable,2010-2019,0.9711268
22,Myrmica lobicornis,Stable,2010-2019,0.4809002
23,Myrmica rubra,Declining,2010-2019,0.7196805
24,Myrmica ruginodis,Increasing,2010-2019,0.8781974
25,Myrmica rugulosa,Stable,2010-2019,0.444099
26,Myrmica sabuleti,Declining,2010-2019,0.0528662
27,Myrmica scabrinodis,Stable,2010-2019,0.688668
28,Myrmica schencki,Declining,2010-2019,0.2354639
29,Tetramorium caespitum,Fluctuating,2010-2019,0.6617381
